Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
1,Exit short,2025-08-05 16:30,Close entry(s) order Short,3.4552,17.79,62.706192,1.18,1.87,4.6,7.33,-1.97,-3.14,1.18,1.18,193
1,Entry short,2025-08-01 16:00,Short,3.5248,17.79,62.706192,1.18,1.87,4.6,7.33,-1.97,-3.14,1.18,1.18,193
2,Exit short,2025-08-06 23:30,Short Exit,3.4871,19.93,67.477001,-2.09,-3.09,1.18,1.75,-2.05,-3.04,-0.91,-0.91,40
2,Entry short,2025-08-06 03:30,Short,3.3857,19.93,67.477001,-2.09,-3.09,1.18,1.75,-2.05,-3.04,-0.91,-0.91,40
3,Exit long,2025-08-10 12:00,Long Exit,4.006,14.15,50.7419,5.89,11.60,5.92,11.66,-0.04,-0.08,4.98,4.98,131
3,Entry long,2025-08-07 18:30,Long,3.586,14.15,50.7419,5.89,11.60,5.92,11.66,-0.04,-0.08,4.98,4.98,131
4,Exit short,2025-08-13 02:00,Short Exit,3.8954,13.29,49.670046,-2.15,-4.33,1.84,3.70,-2.12,-4.28,2.83,2.83,61
4,Entry short,2025-08-11 19:30,Short,3.7374,13.29,49.670046,-2.15,-4.33,1.84,3.70,-2.12,-4.28,2.83,2.83,61
5,Exit long,2025-08-14 20:30,Long Exit,3.8744,17.17,68.587282,-2.13,-3.11,3.21,4.68,-2.1,-3.06,0.69,0.69,53
5,Entry long,2025-08-13 18:00,Long,3.9946,17.17,68.587282,-2.13,-3.11,3.21,4.68,-2.1,-3.06,0.69,0.69,53
6,Exit short,2025-08-15 12:00,Short Exit,3.8438,11.91,43.768059,-2.06,-4.70,0.3,0.68,-2.03,-4.64,-1.36,-1.36,13
6,Entry short,2025-08-15 05:30,Short,3.6749,11.91,43.768059,-2.06,-4.70,0.3,0.68,-2.03,-4.64,-1.36,-1.36,13
7,Exit short,2025-08-17 11:00,Short Exit,3.7908,14,51.0944,-2.03,-3.97,0.44,0.87,-2,-3.92,-3.39,-3.39,70
7,Entry short,2025-08-16 00:00,Short,3.6496,14,51.0944,-2.03,-3.97,0.44,0.87,-2,-3.92,-3.39,-3.39,70
8,Exit long,2025-08-18 02:30,Long Exit,3.7732,28.49,109.432939,-2.04,-1.87,1.43,1.30,-1.99,-1.82,-5.43,-5.43,13
8,Entry long,2025-08-17 20:00,Long,3.8411,28.49,109.432939,-2.04,-1.87,1.43,1.30,-1.99,-1.82,-5.43,-5.43,13
9,Exit short,2025-08-22 11:00,Close entry(s) order Short,3.439,12.75,46.47885,2.59,5.56,3.4,7.31,-0.39,-0.85,-2.85,-2.85,193
9,Entry short,2025-08-18 10:30,Short,3.6454,12.75,46.47885,2.59,5.56,3.4,7.31,-0.39,-0.85,-2.85,-2.85,193
10,Exit short,2025-08-22 22:00,Short Exit,3.4206,22.12,73.719324,-2.02,-2.74,0.64,0.87,-1.98,-2.69,-4.87,-4.87,3
10,Entry short,2025-08-22 20:30,Short,3.3327,22.12,73.719324,-2.02,-2.74,0.64,0.87,-1.98,-2.69,-4.87,-4.87,3
11,Exit long,2025-08-25 14:30,Long Exit,3.5638,11.03,41.210286,-1.94,-4.71,1.23,2.99,-1.92,-4.66,-6.81,-6.81,122
